0	303.7406
25	276.9580
50	281.3125
75	269.3719
100	273.5112
125	279.7306
150	273.6889
175	263.4281
200	272.9927
225	271.7331
250	271.5741
275	272.8572
300	263.7206
325	270.5361
350	270.0420
375	265.8853
400	265.4852
425	259.7257
450	263.5748
475	266.6581
500	262.0702
525	254.0762
550	263.0424
575	252.0353
600	253.3596
625	254.1458
650	249.0891
675	254.0853
700	251.5329
725	251.6122
750	258.4124
775	253.2274
800	255.4430
825	253.6039
850	250.0990
875	253.1551
900	250.3126
925	253.0906
950	249.0612
975	248.6986
1000	250.6872
1025	243.7925
1050	246.2796
1075	242.6915
1100	240.4791
1125	243.0467
1150	239.7545
1175	240.8672
1200	244.2370
1225	238.3059
1250	242.1148
1275	236.9543
1300	243.1507
1325	241.4112
1350	234.4804
1375	236.3948
1400	240.3699
1425	238.0059
1450	237.7228
1475	237.3364
1500	236.5640
1525	240.7174
1550	235.9981
1575	238.8077
1600	229.8287
1625	240.8739
1650	233.1481
1675	229.9663
1700	227.8872
1725	237.6984
1750	231.5130
1775	234.3225
1800	232.2884
1825	232.5805
1850	229.9588
1875	229.6493
1900	232.8326
1925	231.2825
1950	228.8665
1975	230.9144
2000	230.9718
2025	229.3829
2050	230.5663
2075	230.5669
2100	228.8742
2125	232.7701
2150	226.7199
2175	232.4409
2200	224.8628
2225	227.2879
2250	226.8392
2275	227.4069
2300	225.2178
2325	225.2624
2350	223.7129
2375	227.5920
2400	222.7288
2425	224.6575
2450	223.8683
2475	220.1633
2500	226.8504
2525	222.5377
2550	221.6771
2575	219.5727
2600	218.5194
2625	218.6557
2650	217.7609
2675	223.7319
2700	222.6068
2725	227.1531
2750	227.1139
2775	221.9843
2800	220.7601
2825	218.6451
2850	217.5582
2875	218.8824
2900	223.5808
2925	224.1488
2950	218.1911
2975	218.6912
3000	222.1462
3025	219.1016
3050	218.8401
3075	223.4345
3100	215.1215
3125	223.4683
3150	215.2658
3175	220.3838
3200	217.3477
3225	214.7958
3250	215.8242
3275	215.9518
3300	214.8020
3325	213.1600
3350	216.0374
3375	211.4582
3400	215.2212
3425	215.7535
3450	217.0370
3475	215.7764
3500	218.8966
3525	217.6583
3550	220.1163
3575	216.9469
3600	217.2180
3625	209.6441
3650	212.4847
3675	211.4339
3700	211.7656
3725	217.5585
3750	214.8002
3775	217.5201
3800	211.9375
3825	213.4331
3850	217.2117
3875	218.0037
3900	211.9954
3925	216.1587
3950	216.2340
3975	216.4835
4000	210.8202
4025	215.3492
4050	212.8179
4075	209.0675
4100	208.4627
4125	208.7840
4150	211.6882
4175	212.5056
4200	210.7445
4225	215.7297
4250	212.5735
4275	215.0008
4300	213.0957
4325	210.0255
4350	215.1546
4375	210.7060
4400	206.9093
4425	208.4463
4450	210.2500
4475	208.0498
4500	207.9082
4525	208.6214
4550	210.2479
4575	210.2039
4600	212.2754
4625	210.1174
4650	207.3727
4675	208.4183
4700	209.2569
4725	208.1070
4750	206.6479
4775	208.4271
4800	210.3963
4825	208.7906
4850	210.0550
4875	208.2457
4900	203.9018
4925	208.8622
4950	204.1917
4975	208.4019
5000	209.3707
